trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.5, 'e': 0.32955896107518906}",35,0,-33.4415553389744,"{0: 27, 1: 4, 2: 3, 3: 1, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.32627979462303947}",30,4,7.679888010878297,"{0: 22, 1: 3, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3230332564222529}",25,10,-25.73940661070443,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.3198190218163039}",25,17,15.520405991258592,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3166367693790532}",20,14,11.27934746848321,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3134861808826054}",20,2,-20.765353989898937,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,2,19.913545742158195,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.30727873860113125}",25,12,-60.5429723229571,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.3042212640667041}",20,3,-58.26742105146386,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,8,-16.311662154491366,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.2981972794298874}",25,15,5.113815880776495,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2952301669240142}",25,1,10.29173213488429,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,11,-4.735816579563622,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.28938421793905067}",20,2,4.034568321994741,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.28650479686019015}",20,6,-41.942074681919,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,11,3.615543856534199,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,10,9.863511777696363,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,11,-38.28331297690766,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.27527078308975234}",20,10,-1.161351034193482,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,0,-54.37539083855717,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.26982005638468687}",25,10,-36.440567995037156,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.2671353019658504}",25,11,27.82184004560863,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,0,11.734908436434566,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
